newlyConst,balcony,totalRent,hasKitchen,cellar,livingSpace,lift,typeOfFlat,geo_plz,noRooms,garden,regio3,date,buildingAge,schufa_yn,PersonalInfo_yn,incomeProof_yn,guarantee_yn,debtFreeProof_yn,ID_yn,utilitiesPrice
0,1,1100.0,1,0,57.95,0,apartment,10553,2.0,0,Tiergarten,Oct19,115.0,0,0,0,0,0,0,127.0
1,1,2700.0,1,1,119.0,1,apartment,10963,4.0,0,Tiergarten,Feb20,1.0,0,0,0,0,0,0,485.0
0,1,1190.0,1,0,58.3,0,apartment,13187,2.0,0,Pankow,May19,115.0,0,0,0,0,0,0,90.0
0,1,526.0,0,1,35.49,1,apartment,12629,1.0,0,Hellersdorf,Sep18,35.0,0,0,0,0,0,0,87.0
0,0,700.0,0,0,30.44,0,apartment,10437,1.0,0,Prenzlauer Berg,May19,118.0,0,0,0,0,0,0,75.0
0,0,559.0,0,0,29.6,0,apartment,12059,1.0,0,Neukölln,Sep18,120.0,0,0,0,0,0,0,68.0
0,1,1882.0,1,1,87.55,1,apartment,10785,3.0,0,Tiergarten,May19,22.0,0,0,0,0,0,0,394.0
0,1,649.92,0,1,56.92,1,ground_floor,13583,2.0,0,Spandau,Sep18,56.0,0,0,0,0,0,0,176.91999999999996
0,1,1270.0,1,0,96.47,0,roof_storey,12527,3.0,0,Köpenick,Sep18,21.0,0,0,0,0,0,0,255.0
0,0,1000.0,0,1,80.86,0,ground_floor,12557,3.0,1,Köpenick,Sep18,120.0,0,0,0,0,0,0,200.0
0,1,700.0,1,1,57.0,0,apartment,12487,2.0,0,Treptow,May19,100.0,0,0,0,0,0,0,130.0
0,1,1961.0,1,1,76.0,1,apartment,10963,3.0,0,Kreuzberg,May19,3.0,0,0,0,0,0,0,365.0
0,0,374.85,1,0,29.4,0,half_basement,12205,1.0,0,Steglitz,May19,116.0,0,0,0,1,0,0,147.85000000000005
0,0,660.0,0,0,61.85,1,apartment,12685,2.0,0,Marzahn,Oct19,40.0,0,0,0,0,0,0,220.0
0,1,1067.24,0,1,72.27,1,ground_floor,12527,2.0,1,Köpenick,Feb20,3.0,0,0,0,0,0,0,200.24
0,0,953.0,0,1,74.49,0,apartment,13125,3.0,0,Weißensee,May19,23.0,0,0,0,0,0,0,204.0
0,0,655.0,1,0,21.0,1,apartment,13089,1.0,0,Weißensee,May19,4.0,0,0,0,0,0,0,150.0
0,1,1543.16,0,0,92.94,0,apartment,10785,3.0,0,Tiergarten,Sep18,5.0,0,0,0,0,0,0,242.16000000000008
0,1,1048.0,0,1,56.13,0,raised_ground_floor,10781,2.0,0,Schöneberg,May19,64.0,0,0,0,0,0,0,150.0
0,0,795.0,1,1,50.0,0,ground_floor,13353,1.0,0,Wedding,Feb20,116.0,0,0,0,0,0,0,100.0
0,1,1560.0,1,0,103.0,0,apartment,10713,3.0,0,Wilmersdorf,Feb20,114.0,0,0,0,0,0,0,210.0
0,1,1442.0,0,0,129.0,0,apartment,10623,4.0,0,Charlottenburg,Sep18,123.0,0,0,0,0,0,1,142.0
0,0,1240.0,0,1,97.79,1,apartment,14052,3.0,0,Charlottenburg,Oct19,66.0,0,0,0,0,0,0,280.0
0,1,2050.0,1,1,109.0,1,apartment,10117,3.0,0,Mitte,Sep18,8.0,0,0,0,0,0,0,300.0
0,0,576.58,0,1,46.02,0,apartment,13583,1.5,0,Spandau,May19,59.0,0,0,0,0,0,0,182.58000000000004
0,1,699.0,0,0,63.0,1,apartment,13469,2.0,0,Reinickendorf,Sep18,53.0,0,0,0,0,0,0,230.0
0,1,510.0,0,0,62.0,0,apartment,13409,2.0,0,Reinickendorf,Sep18,111.0,0,0,0,0,0,0,100.0
0,1,892.0,1,1,70.34,0,apartment,13125,2.0,0,Pankow,May19,108.0,0,0,0,0,0,0,232.0
0,1,2000.0,1,1,81.88,0,apartment,10119,3.0,0,Mitte,Sep18,25.0,0,0,0,0,0,0,250.0
0,0,920.0,0,1,70.0,0,apartment,10553,2.0,0,Tiergarten,Oct19,127.0,0,0,0,0,0,0,150.0
0,1,643.54,0,1,55.39,0,ground_floor,13509,2.0,0,Reinickendorf,Oct19,90.0,0,0,0,0,0,0,155.53999999999996
0,0,729.0,0,0,48.0,0,apartment,10553,2.0,0,Tiergarten,Oct19,120.0,0,0,0,0,0,0,130.0
0,1,794.74,0,1,81.59,0,apartment,12627,4.0,0,Hellersdorf,Oct19,34.0,0,0,0,0,0,0,229.74
0,0,2622.0,1,0,138.0,1,roof_storey,14057,5.0,0,Charlottenburg,May19,120.0,0,0,0,0,0,1,414.0
1,0,1039.41,0,0,81.9,1,apartment,13405,2.0,0,Reinickendorf,May19,1.0,0,0,0,0,0,0,220.41000000000008
0,1,1320.1,0,1,111.96,0,apartment,12207,3.0,0,Steglitz,Feb20,31.0,0,0,0,0,0,0,355.09999999999985
0,0,530.0,1,0,40.29,1,apartment,12459,2.0,0,Köpenick,Feb20,120.0,0,0,0,0,0,0,130.0
0,1,1471.5,1,1,82.0,0,apartment,10719,3.0,0,Wilmersdorf,Oct19,110.0,0,0,0,0,0,1,210.5
1,1,873.4,0,0,56.0,0,apartment,10318,2.0,0,Lichtenberg,May19,1.0,0,0,0,0,0,0,95.39999999999998
0,1,1365.0,1,0,60.5,0,ground_floor,10711,2.0,0,Wilmersdorf,Oct19,120.0,0,0,0,0,0,0,300.0
0,1,1060.0,1,1,77.0,0,apartment,10317,3.0,0,Lichtenberg,Sep18,103.0,0,0,0,0,0,0,160.0
0,1,623.91,0,0,58.77,0,apartment,12351,2.0,0,Neukölln,Sep18,62.0,0,0,0,0,0,0,173.90999999999997
0,1,3850.0,0,0,224.0,0,apartment,12207,5.0,0,Steglitz,May19,112.0,0,0,0,0,0,0,450.0
0,1,1018.84,1,1,96.5,1,apartment,13347,3.0,0,Wedding,Sep18,39.0,0,0,0,0,0,0,325.8400000000001
0,0,859.0,0,0,67.21,0,apartment,10315,2.5,0,Lichtenberg,May19,108.0,0,0,0,0,0,0,210.0
0,1,1415.0,1,1,87.0,0,apartment,12487,3.0,1,Treptow,Sep18,109.0,0,0,0,0,0,0,165.0
0,1,1132.84,0,1,105.16,1,apartment,12207,3.5,0,Steglitz,Sep18,50.0,0,0,0,0,0,0,314.83999999999986
0,1,900.0,1,0,43.06,0,ground_floor,13407,2.0,1,Reinickendorf,Sep18,95.0,0,0,0,0,0,0,100.0
0,1,732.84,0,0,69.4,1,apartment,12629,3.0,0,Hellersdorf,May19,31.0,0,0,0,0,0,0,207.84000000000003
0,0,571.77,0,0,47.0,0,ground_floor,12487,1.0,0,Treptow,Feb20,115.0,0,0,0,0,0,0,150.76999999999995
0,0,1229.0,0,0,107.3,0,apartment,12459,3.0,0,Köpenick,May19,116.0,0,0,0,0,0,0,230.0
0,0,1989.0,1,1,93.0,1,apartment,10785,3.0,0,Tiergarten,May19,22.0,0,0,0,0,0,0,419.0
1,1,1996.9,0,1,97.41,1,roof_storey,10115,3.0,0,Mitte,Sep18,2.0,0,0,0,0,0,0,292.9000000000001
1,1,1845.0,1,1,82.75,1,apartment,10179,3.0,0,Mitte,Feb20,1.0,0,0,0,0,0,0,250.0
0,1,594.0,0,0,68.82,0,apartment,12685,3.0,0,Marzahn,Oct19,41.0,0,0,0,0,0,0,174.0
0,1,1453.82,1,1,113.61,1,raised_ground_floor,13055,4.0,0,Hohenschönhausen,May19,23.0,0,0,0,0,0,0,295.81999999999994
1,1,2544.58,1,0,108.05,1,apartment,10557,4.0,0,Tiergarten,Oct19,1.0,0,0,0,0,0,0,324.57999999999987
0,0,1321.0,0,0,49.9,1,apartment,10405,2.0,0,Prenzlauer Berg,Oct19,114.0,0,0,0,0,0,0,123.0
1,1,990.0,1,1,48.0,1,apartment,10247,1.5,0,Friedrichshain,Feb20,1.0,0,0,0,0,0,1,130.0
0,1,1471.96,0,1,94.0,0,apartment,12157,3.5,0,Schöneberg,Oct19,80.0,0,0,0,0,0,0,329.9600000000001
0,0,817.15,0,1,63.54,0,apartment,13086,1.0,0,Weißensee,Oct19,130.0,0,0,0,0,0,0,183.15
0,1,1725.0,1,0,82.0,0,apartment,10961,2.0,0,Kreuzberg,Oct19,120.0,0,0,0,0,0,0,170.0
0,1,706.15,1,1,68.86,0,apartment,12207,2.5,0,Steglitz,Sep18,42.0,0,0,0,0,0,0,220.15
0,1,687.0,0,1,57.5,0,terraced_flat,13125,1.0,0,Pankow,Sep18,5.0,0,0,0,0,0,0,187.0
0,0,799.0,0,0,64.0,1,apartment,12057,2.0,0,Neukölln,May19,46.0,0,0,0,0,0,0,210.0
0,1,856.0,0,1,52.0,0,apartment,14163,2.0,0,Zehlendorf,May19,90.0,0,0,0,0,0,0,166.0
0,0,544.0,1,0,37.0,0,ground_floor,12247,1.0,0,Steglitz,Feb20,65.0,0,0,0,0,0,0,95.0
0,1,999.0,1,0,42.0,1,apartment,10587,1.0,0,Charlottenburg,Feb20,23.0,0,0,0,0,0,0,300.0
0,1,942.0,0,0,71.98,0,apartment,12439,2.0,0,Treptow,May19,120.0,0,0,0,0,0,0,207.0
1,1,1960.8,1,1,98.04,1,ground_floor,10557,3.0,0,Tiergarten,Feb20,1.0,0,0,0,0,0,0,294.7999999999999
0,0,1234.0,0,0,60.76,1,apartment,10829,2.0,0,Schöneberg,May19,115.0,0,0,0,0,0,0,140.0
0,1,1150.0,0,0,54.95,1,apartment,10249,2.0,0,Friedrichshain,Oct19,53.0,0,0,0,0,0,0,150.0
0,0,994.0,1,1,75.0,0,apartment,13086,2.0,0,Weißensee,Oct19,107.0,0,0,0,0,0,0,178.0
0,0,900.0,0,0,69.26,0,apartment,12557,3.0,0,Köpenick,May19,26.0,0,0,0,0,0,0,187.0
0,1,1958.69,0,1,112.31,0,ground_floor,12051,3.0,0,Neukölln,Feb20,103.0,0,0,0,0,0,0,337.69000000000005
0,1,1408.0,0,0,88.0,0,apartment,13409,3.0,0,Reinickendorf,Feb20,120.0,0,0,0,0,0,0,264.0
1,1,1215.0,1,0,74.68,1,roof_storey,13127,2.0,0,Buchholz,Feb20,1.0,0,0,0,0,0,0,225.0
